Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir
5/6/13,-4.9,1.7,-1.6,-2.2,6,91.9,nan,0.9,273
5/7/13,-5.6,5.6,0,1,6,42.2,nan,0.8,297
5/8/13,0.3,8.6,4.5,3.3,6,27.9,nan,1.9,nan
5/9/13,0,4.7,2.4,1.9,6,39.6,nan,6.1,nan
5/10/13,2.1,8,5,4.8,6,39.6,nan,4.2,nan
5/11/13,0.5,4,2.2,2.2,6.1,84.1,nan,5.3,124
5/12/13,-0.6,3.1,1.3,0.7,6.1,84.4,nan,2.4,180
5/13/13,-2.3,-0.5,-1.4,-1.2,6.1,92.4,nan,4.4,174
5/14/13,-3.2,-0.9,-2.1,-2.3,6.1,97.5,nan,2.9,206
5/15/13,-5.3,-0.3,-2.8,-2.7,6.1,97.7,nan,3.1,nan
5/16/13,-5.3,-0.8,-3.1,-2.7,6.1,82.9,nan,3.8,nan
5/17/13,-1.9,0.5,-0.7,-0.6,6.1,87.8,nan,6.3,nan
5/18/13,-7.5,-1,-4.2,-2.6,6.1,93.5,nan,6.3,nan
5/19/13,-9,-1.5,-5.2,-5.9,6,96.4,nan,nan,nan
5/20/13,-10.3,-6.2,-8.2,-8,6,81,nan,6.9,39
5/21/13,-8,-0.3,-4.2,-4.8,6,71.3,nan,17.7,nan
5/22/13,-3.2,2.8,-0.2,-1.2,6.1,74.4,nan,6,nan
5/23/13,-2.7,4.3,0.8,1.9,6.1,54.2,nan,7.5,nan
5/24/13,3.5,6.2,4.8,4.5,6.1,64.9,nan,8.7,nan
5/25/13,4.8,11.6,8.2,6.8,6,65.5,nan,3.1,nan
5/26/13,5.5,10.4,7.9,8.3,6,50.6,nan,2.6,nan
5/27/13,7,11.7,9.3,8.7,6,46.6,nan,6.2,nan
5/28/13,7,10.2,8.6,8.4,6,49.9,nan,6.3,nan
5/29/13,4.7,9,6.9,6.6,6,70.7,nan,6.2,nan
5/30/13,5,10.6,7.8,6.8,6,70,nan,2.9,nan
5/31/13,-2.1,6,1.9,2.2,6,94.1,nan,2.2,303
6/1/13,-2.6,2.4,-0.1,-1,6,96.5,nan,1.6,nan
6/2/13,-2.5,5.4,1.4,0.9,6,78.7,nan,1.1,nan
6/3/13,0.3,2.9,1.6,1.7,6,70.7,nan,4.3,nan
6/4/13,-2.6,1,-0.8,-0.3,6,91.1,nan,4.5,nan
6/5/13,-3.2,1.1,-1.1,-1.6,6,97.9,nan,2,nan
6/6/13,-3.1,1.5,-0.8,-0.9,6,84.9,nan,5.3,70
6/7/13,-0.6,5.3,2.4,1.2,6,83.9,nan,2.8,nan
6/8/13,-0.1,7.8,3.8,3.1,6,72.9,nan,1.3,80
6/9/13,0.6,9.4,5,4.4,6,79.3,nan,1.5,3
6/10/13,5.7,11.4,8.5,7.5,6,63.5,nan,2.8,nan
6/11/13,6.2,11.8,9,8.5,6,55,nan,4.8,nan
